Country/Region,Date,R,ci_95_u,ci_95_l,ci_65_u,ci_65_l,days_infectious,last_updated
France,2020-07-23,1.3115417003226475,1.5614568698430809,1.0595201498771465,1.4307724244378068,1.191670710193943,5,2021-06-22
France,2020-07-24,1.3104730240958566,1.5626081015856466,1.0576558387904558,1.4303011945805286,1.1916063509283692,5,2021-06-22
France,2020-07-25,1.3143484230552664,1.5689979125777809,1.0620067897925125,1.4341909270608153,1.1933109889613762,5,2021-06-22
France,2020-07-26,1.3246526213724887,1.57874075257556,1.0717660970583325,1.4425857551496597,1.2055804877225775,5,2021-06-22
France,2020-07-27,1.3352826287744557,1.586328366621793,1.084952015239154,1.4527908888124257,1.2158375559015042,5,2021-06-22
France,2020-07-28,1.3379303053562734,1.5898085820451393,1.0898706151788038,1.455547973421961,1.2192118605650943,5,2021-06-22
France,2020-07-29,1.3376094428687595,1.5906532663935176,1.088118305250374,1.4541190097191623,1.2198073982619528,5,2021-06-22
France,2020-07-30,1.3349857422157512,1.5847047142988258,1.0859747530729824,1.4524052457059813,1.2168487858312942,5,2021-06-22
France,2020-07-31,1.3344610819231495,1.5832450736441983,1.0876691841740935,1.4517337476134942,1.2171946519667345,5,2021-06-22
France,2020-08-01,1.3413908099199028,1.589063387085329,1.093685566576803,1.4579538553553626,1.224224144995009,5,2021-06-22
France,2020-08-02,1.3561204469392198,1.6037490753497434,1.1105468874620243,1.472403221983071,1.2386048607338178,5,2021-06-22
France,2020-08-03,1.3731706806021566,1.6185122387045825,1.1279805172809825,1.4901052338853695,1.2568459752677814,5,2021-06-22
France,2020-08-04,1.3736667392809958,1.619713400626588,1.1257235480311156,1.4906295606408348,1.256450190951501,5,2021-06-22
France,2020-08-05,1.3693551437044358,1.6149207111854815,1.1219506528562846,1.4867843186597556,1.2521986090690271,5,2021-06-22
France,2020-08-06,1.3657199261291546,1.612349292981084,1.11627637071271,1.4831206372625854,1.2484163220302351,5,2021-06-22
France,2020-08-07,1.3680122464944005,1.6170878645831197,1.1185480761361386,1.4862489097785403,1.2512964260586688,5,2021-06-22
France,2020-08-08,1.3699065957249656,1.6182424650445717,1.1194438420947856,1.4878037416690415,1.2531896423805748,5,2021-06-22
France,2020-08-09,1.3826455554949757,1.6307751406186186,1.1344304625576294,1.5014100193988655,1.2662202802321527,5,2021-06-22
France,2020-08-10,1.4015827175700348,1.6523264411899798,1.1527472243946368,1.5182336547244042,1.2830629880723543,5,2021-06-22
France,2020-08-11,1.3923196405872589,1.6422495464132287,1.1459592185703755,1.5091682581095696,1.275638787293259,5,2021-06-22
France,2020-08-12,1.3813956288761746,1.6318965983237321,1.1353137230851256,1.4972430130932906,1.2646721641268999,5,2021-06-22
France,2020-08-13,1.368221297186916,1.6188911512886381,1.1213913543947542,1.4837541267990861,1.252210361962956,5,2021-06-22
France,2020-08-14,1.36029801873019,1.6086546440884462,1.1109457143854602,1.4767375636736304,1.244389338017821,5,2021-06-22
France,2020-08-15,1.3550293807028404,1.6030540549988266,1.1040847548093962,1.4715338122985078,1.2381996377685172,5,2021-06-22
France,2020-08-16,1.3388179915995608,1.586501290951134,1.089385331537975,1.4553888069703589,1.2212681283652365,5,2021-06-22
France,2020-08-17,1.3173428302654009,1.56334970383892,1.0643348545835456,1.4329397390173018,1.2017640212798482,5,2021-06-22
France,2020-08-18,1.3236783997506685,1.5681556879532548,1.0737182146019335,1.4410673293256038,1.2078205771362671,5,2021-06-22
France,2020-08-19,1.3322842267176167,1.5818689373153731,1.0843383782632179,1.4489963313108072,1.21559609250999,5,2021-06-22
France,2020-08-20,1.3310924616735271,1.5791458647298733,1.0817422333836444,1.4487421169335728,1.2147174069984918,5,2021-06-22
France,2020-08-21,1.3301657941321523,1.5789735102607092,1.0772271707883383,1.4475865140069215,1.2145453874013772,5,2021-06-22
France,2020-08-22,1.3252981473913934,1.5702100037095468,1.077899604659575,1.4412711350388605,1.2088361457252776,5,2021-06-22
France,2020-08-23,1.3193370081904563,1.56642693187756,1.0689438530680635,1.4367584093230548,1.202775287171275,5,2021-06-22
France,2020-08-24,1.3086048929944618,1.5548642861089848,1.0572122702182944,1.426253787631942,1.1910899666653472,5,2021-06-22
France,2020-08-25,1.310438783227574,1.5559315912204856,1.0603340253172018,1.4283175724236563,1.1937819561957188,5,2021-06-22
France,2020-08-26,1.3151745363772842,1.5628273445043273,1.064987726437154,1.4323767692407674,1.1971223229223358,5,2021-06-22
France,2020-08-27,1.3351255157392887,1.5859821323565098,1.085061888686924,1.4528991145915446,1.2170865153597399,5,2021-06-22
France,2020-08-28,1.3230363781564154,1.5729297112539058,1.0768912262205022,1.4400923556049567,1.2062648821771926,5,2021-06-22
France,2020-08-29,1.3054231023322032,1.5573990243778308,1.0579341031810925,1.422876245343646,1.1865731485305595,5,2021-06-22
France,2020-08-30,1.2869846271456051,1.5369470563289531,1.04203256977713,1.4051059922767897,1.1700825098755558,5,2021-06-22
France,2020-08-31,1.2706918765681203,1.5188104018136284,1.025542355424846,1.3874667799526792,1.1544128633428097,5,2021-06-22
France,2020-09-01,1.2608064289026255,1.5076602146679925,1.0149137311635659,1.3782073038550626,1.1440671697568128,5,2021-06-22
France,2020-09-02,1.2518563902933255,1.4980868500893303,1.0061044318494436,1.3709473645336137,1.1344521761796442,5,2021-06-22
France,2020-09-03,1.2392411848031846,1.4838015668969464,0.9927125830600232,1.3573248616074811,1.1213190960450554,5,2021-06-22
France,2020-09-04,1.2355631344178692,1.4829120212173377,0.9899023960334118,1.3536297786281168,1.1167500203078398,5,2021-06-22
France,2020-09-05,1.2291385232026804,1.4749006897251309,0.982857214749046,1.347008865181302,1.1115488074301518,5,2021-06-22
France,2020-09-06,1.2201182952194252,1.4664919387977462,0.9723657896481978,1.3395032025406493,1.1014018510579362,5,2021-06-22
France,2020-09-07,1.2097680559712518,1.4547203017936652,0.9629534802436908,1.3287879809313097,1.0912375393665328,5,2021-06-22
France,2020-09-08,1.2023473165127905,1.4511508220872535,0.9557372754153928,1.3190979260015097,1.0852348270757155,5,2021-06-22
France,2020-09-09,1.1953654219433758,1.4400299419899905,0.948088846101524,1.3125348422006111,1.07857876992928,5,2021-06-22
France,2020-09-10,1.18829557605488,1.4351971077967811,0.9396869681803862,1.3060558212830895,1.0711171796117307,5,2021-06-22
France,2020-09-11,1.1837637148443192,1.4315729656163136,0.935550996811816,1.3007148609950716,1.0661257059518159,5,2021-06-22
France,2020-09-12,1.1805300903618874,1.4296972970268644,0.9353475299818832,1.2974366511579074,1.0627063994096049,5,2021-06-22
France,2020-09-13,1.1749746058074182,1.4241394461846366,0.923405301124834,1.2930600151269471,1.057274498694578,5,2021-06-22
France,2020-09-14,1.1722405183916076,1.4239827854529672,0.9223952233737234,1.2907090886427628,1.053225980382991,5,2021-06-22
France,2020-09-15,1.1686411969460184,1.4172504162423871,0.9181878795506268,1.28684467224494,1.0495034508806436,5,2021-06-22
France,2020-09-16,1.1650813837754446,1.4109829493493835,0.9150363331895792,1.284427364062509,1.045532677302486,5,2021-06-22
France,2020-09-17,1.1619833592863131,1.4083747988831714,0.9130262799989076,1.2816716206917869,1.0435162442891306,5,2021-06-22
France,2020-09-18,1.1634991095945997,1.4109913945621675,0.9151173769747108,1.2822984368378223,1.045360340455627,5,2021-06-22
France,2020-09-19,1.1619981502247816,1.4124220796949905,0.9135250560477846,1.280136979673562,1.0425492560919254,5,2021-06-22
France,2020-09-20,1.1584220137997732,1.4097963914924556,0.9131926849390068,1.2765378649912358,1.040208190936502,5,2021-06-22
France,2020-09-21,1.1533638501143428,1.4026029372139672,0.9034453612055608,1.2717312339922715,1.0356649930625297,5,2021-06-22
France,2020-09-22,1.1501492462732643,1.3965001066306415,0.8989210619724536,1.2661836903350965,1.0317877263251072,5,2021-06-22
France,2020-09-23,1.1457621860295828,1.3939840294166197,0.9010839487166488,1.2619924819726915,1.0284104510317138,5,2021-06-22
France,2020-09-24,1.1412449891081575,1.3878795170810496,0.8934498609454675,1.2587041139468989,1.0219326580484511,5,2021-06-22
France,2020-09-25,1.1339629679216885,1.380839437821249,0.8844365243874079,1.2501659400974952,1.0169357908379142,5,2021-06-22
France,2020-09-26,1.1258820379924823,1.3750049732131728,0.8745344197249584,1.2417074297208042,1.008487427184116,5,2021-06-22
France,2020-09-27,1.1199239972350579,1.3657902808361242,0.8705485850493493,1.2376347574402409,1.0032114276190407,5,2021-06-22
France,2020-09-28,1.1160263335538343,1.3632014910070531,0.8670611824491641,1.2339679558341623,0.9998491464722938,5,2021-06-22
France,2020-09-29,1.1160834953821843,1.3610242627962112,0.8699111283221814,1.2332557543270717,1.0000974969060843,5,2021-06-22
France,2020-09-30,1.119912109485679,1.3653748512158022,0.8688113698716058,1.2370876603130792,1.0030162369481488,5,2021-06-22
France,2020-10-01,1.1237490335620726,1.3684733159787854,0.8710718044993528,1.2415754641652794,1.0071450151271977,5,2021-06-22
France,2020-10-02,1.1307457008255517,1.3773344934895833,0.8810987805252776,1.2474170504263182,1.0147457189372218,5,2021-06-22
France,2020-10-03,1.1411105733022775,1.3874918582900642,0.8893961674002128,1.2578588276522598,1.0251443509288622,5,2021-06-22
France,2020-10-04,1.1518629767876487,1.399069922130386,0.9036421087710018,1.2685582223645502,1.0357211781402804,5,2021-06-22
France,2020-10-05,1.162056123277578,1.4093955488574452,0.9110989861018504,1.2802804540309434,1.0450554914353318,5,2021-06-22
France,2020-10-06,1.1749739049692252,1.4216292758953386,0.92623874473437,1.291968873583623,1.0577879755847106,5,2021-06-22
France,2020-10-07,1.187468289480092,1.4334368337253582,0.939337020296142,1.305392430758228,1.0707610258359248,5,2021-06-22
